zinc_id,smiles
ZINC000019772210,CCNc1ccc(Cl)c(Cl)c1
ZINC000012495942,CC(C)CCC[C@@H](C)CCC(=O)O
ZINC000001696881,CCCOC(=O)CCC1CCCCC1
ZINC000003888016,CCc1c(C(C)=O)oc2ccccc12
ZINC000019879401,CC(C)[C@@H](C)Nc1ccccc1
ZINC000001725142,C=Cc1ccc2ccccc2c1
ZINC000014684769,C=C(C)/C=C\[C@H]1C[C@H](C)CCCO1
ZINC000100760808,CC(C)(C)O[PH](=O)OC(C)(C)C
ZINC000004530509,CC(C)[C@H]1CCc2ccccc2C1=O
ZINC000034534294,C[C@H](C=O)c1ccc2ccccc2c1
ZINC000057217532,Fc1cccc(Cl)c1CCCl
ZINC000006130133,CCCc1ccc2cc(O)ccc2c1
ZINC000504584425,CCCCC[C@H](C)[C@H](C)C(=O)OC
ZINC000005766979,CC1=CCCC(C)(C)[C@H]1/C=C/[C@@H](C)O
ZINC000064624318,C1#CCCCCCCCC1
ZINC000001259130,N#Cc1ccc(-c2cccc(F)c2)cc1
ZINC000071617761,O=C(O)c1ccc2c3c(cccc13)C=C2
ZINC000008325851,CC[C@@H](C)NC/C=C/c1ccccc1
ZINC000002510293,CCCCCCc1ccco1
ZINC000064370146,FC(F)(F)C[C@@](F)(Cl)CCl
ZINC000000127692,c1ccc(-c2nc3ccccc3o2)cc1
ZINC000019804101,CC[C@@H](C)[C@H](N)c1ccc(Cl)cc1
ZINC000032099452,Fc1ccc2c(Cl)ccnc2c1
ZINC000002539411,CC(=O)c1ccc2cc(C)ccc2c1
ZINC000022067362,CC1=C(C#N)C(C)(C)CCC1
ZINC000002512479,CCCCCc1ccsc1
ZINC000083824796,Cc1cc(CN)ccc1-c1ccccc1
ZINC000095829386,FC(F)c1ccc(CCl)cc1
ZINC000088259945,CC1(C)CCCNc2ccccc21
ZINC000020046775,CNc1cc(Cl)cc(Cl)c1
ZINC000032627389,CCCCc1nc(CCl)cs1
ZINC000002387345,C#CC(C)(C)NC(C)(C)CC(C)(C)C
ZINC000002382952,Clc1cccc(-c2ccccc2)n1
ZINC000001996277,CCCC/C=C/CCCCOC(C)=O
ZINC000071795273,CCC/C=C\CCC
ZINC000003123604,CCC(C)(C)c1ccc(C=O)cc1
ZINC000034104143,O=C1CCCCc2cc(Cl)ccc21
ZINC000085947592,CC(C)[C@@H]1CC[C@@H](C)[C@H]1C
ZINC000086034077,CC1=CCCC(=C(C)C)C1
ZINC000238857228,C[C@@H]1CCC[C@H]([C@H]2CCCC[C@@H]2O)C1
ZINC000058141921,C[C@H](Cl)c1ccc2c(c1)CCC2
ZINC000005510509,CCCCC/C=C/C[C@@H]1CCC(=O)O1
ZINC000002038777,CC[C@H](C)CCC(C)C
ZINC000034589186,CCC[C@H](C)CCCCCCO
ZINC000083255342,CC1(C)CC(C)(C)c2cc(N)ccc21
ZINC000011535640,C/C=C/c1ccc2ccccc2n1
ZINC000001670949,Oc1ccc(CCc2ccccc2)cc1
ZINC000070054993,Fc1ccc(F)c2nc(Cl)ccc12
ZINC000001847524,C=CC(F)(F)C(F)(F)C(F)(F)F
ZINC000002504661,Cc1ccc([C@H](N)c2ccccc2)cc1
